Amenities,Area_Sqft,Description,District,Ethnic,Facing,Floor,Furnishing,Keys_On_Hand,Lease,ListingTitle,NumBaths,NumBeds,Pets,Price_psf,RentalRate,Url 
"Clubhouse,City View,Security,Fitness Corner,Aircon,Squash Court,Stove,Fridge,Swimming Pool,Utility Room,Dryer,Playground,Oven,Parking,Mid Floor,Washer,Gym,Tennis Court,Balcony","2,722 sqft (built up)","Centrally located just off River Valley Road, Leonie Condotel is just minutes’ walk to Somerset MRT Station and Singapore’s famous shopping belt Orchard Road. Other recreational facilities in the area include Fort Canning Park and Fort Canning Country Club.

Renowned international schools such as ISS International School and Chatsworth International School (Orchard Campus), and local schools such as River Valley Primary and Outram Secondary are also nearby. 

The Central Business District is a short drive away, and residents enjoy island-wide access via the Central Expressway (CTE) and Ayer Rajah Expressway (AYE). 

Why Leonie Condotel?

* Minutes' walk to Singapore's famous shopping belt - Orchard Road.
* Near reputable local and international schools.
* Walking distance to Orchard and Somerset MRT Stations.
* Minutes' drive to the Central Business District (CBD).
* Minutes' drive to recreational facilities such as Fort Canning Park and Fort Canning Country Club.
* Minutes' walk to renowned international schools such as ISS and Chatsworth International School (Orchard Campus)
* Complimentary shuttle bus service on weekdays to Dhoby Ghaut, City Hall and Raffles Place MRT Stations.

Call (+65) 91450205 for viewing now.

**NO AGENT FEE**",D09,,,16,Partially Furnished,,Flexible,Leonie Condotel,5 Baths,4 Beds,Allowed,S$3.27 psf,"S$8,900/mo",https://www.99.co/singapore/rent/property/leonie-condotel-condo-B3hNZjrLndXepTttvEpt29
"Clubhouse,Open Terrace,Water Feature,Gym,Fridge,Dryer,Oven,Function Room,Security,Balcony,Aircon,TV,Sofa,Pool Deck,Bed,Viewing Deck,Lounge,Swimming Pool,Fitness Corner,High Floor,Washer,Reflexology Path",915 sqft (built up),"Highline Residences
***KEYS COLLECTED*** FLEXIBLE VIEWING
BRAND NEW LUXURIOUS PROJECT
2 Bedrooms + Balcony **FOR RENT**
Very High Floor (ABOVE #20)
UNBLOCK VIEW, North-South Facing
No Afternoon Sun.

Best Location! 
3 mins walk to Tiong Bahru MRT Station, Shopping Mall with many Banks, NTUC Supermarket, Cinema, Eateries, Tiong Bahru Market with big food centre. 

1 MRT Stop to Outrum MRT Station, interchange to Northeast Line, Singapore General Hospital.

Direct buses to CBD and Orchard. 

Call George at 93888383 for viewing! 
www.georgesiow.net",D03,All races welcome,North,,,,Flexible,Highline Residences,2 Baths,3 Beds,Not Allowed,S$6.01 psf,"S$5,500/mo",https://www.99.co/singapore/rent/property/highline-residences-condo-gikxgBgaju93pGWuYtmFtJ
"Jogging Track,Clubhouse,Basketball Court,Stove,Parking,Fridge,Sauna,Jacuzzi,Sea View,Tennis Court,Oven,Dining Room Furniture,Security,Balcony,Aerobic Pool,Aircon,Closet,Swimming Pool,Maid Room,Sofa,Greenery View,Pool Deck,Wading Pool,Bed,TV,Utility Room,Dryer,Playground,Fitness Corner,High Floor,Washer,Fibre Ready,Lap Pool,Gym,BBQ","1,259 sqft (built up)","PLEASE READ DESCRIPTION

Apartment Description
● 3 good-sized bedrooms, all can fit queen bed
● No bath tub, only standing shower
● Bright unit
● Planter boxes at living & master bedroom
● Fully furnished, can be partial if required
● Small kitchen with utility room @ yard area
● Bathroom @ yard area
● Facing road (Pasir Ris Drive 1)
● North-east orientation
● Unit on level 13

Availability
● Vacant
● Keys on hand

Price:
● $3,300 slightly negotiable

SMS or Whatsapp
Linda Ng
Mobile : +65 9699-9669",D18,,,13,Fully Furnished,Yes,24 months,Livia,3 Baths,3 Beds,Not Allowed,S$2.62 psf,"S$3,300/mo",https://www.99.co/singapore/rent/property/livia-condo-2gcDgN5nKg3d86j9stwhCQ
"Penthouse,Clubhouse,Walk In Closet,Jacuzzi,Outdoor Dining,Balcony,City View,Renovated,Closet,TV,Greenery View,Duplex / Maisonette,Wading Pool,Playground,Top Floor,Dining Room Furniture,Washer,Fibre Ready,BBQ,Roof Terrace,Gym,Fridge,Steam Room,Tennis Court,Multi-purpose Hall,Jet Pool,Aircon,Sofa,Bed,High Floor,Security,Lap Pool",600 sqft (built up),"Perfect for single or a couple.
1br duplex
City skyline view. 
Jacuzzi (tenant's own maintenance) 
Pantry

Not occupied before.",D08,All races welcome,North East,,Flexible,Yes,24 months,Cityscape @ Farrer Park,1 Bath,1 Bed,,S$4.17 psf,"S$2,500/mo",https://www.99.co/singapore/rent/property/cityscape-farrer-park-condo-RPPDoKiQHFAgw2ZXon9MTD
"Jogging Track,Clubhouse,Gym,Fridge,Jacuzzi,Tennis Court,Parking,Security,Balcony,Pool View,Pavilion,Renovated,Aircon,Greenery View,Pool Deck,Spa Pool,Playground,High Floor,Washer,Fibre Ready,Lap Pool,BBQ",549 sqft (built up),"- 1 BR (549 sqft)
- High floor
- Best view
- Partial / Fully furnish (flexible)

",D27,All races welcome,,,Partially Furnished,,24 months,Eight Courtyards,1 Bath,1 Bed,,S$3.64 psf,"S$2,000/mo",https://www.99.co/singapore/rent/property/eight-courtyards-condo-a8bxTBdA7UoHvLxNayCK6B
"Security,Aircon,High Ceiling,Stove,Fridge,Swimming Pool,Wading Pool,Jacuzzi,Playground,Oven,Parking,Mid Floor,Washer,Lap Pool,Gym",570 sqft (built up),"call for viewing appointment 
84983553 or 87175245",D15,All races welcome,,,Partially Furnished,,24 months,The Cape,1 Bath,1 Bed,,S$5.79 psf,"S$3,300/mo",https://www.99.co/singapore/rent/property/the-cape-condo-3rrD5vRA97ArtDULcGaPBf
"Bomb Shelter,Renovated,Closet,Maid Room,Stove,Dishwasher,Fridge,Aircon,Dryer,Oven,Washer,Bathtub,Balcony","5,400 sqft (built up)","2 1/2 Storey

5 Bedrooms (4 ensuite) + Helpers

- Excellant conditions
- Premier location 
- Park up to 3 cars (sheltered)

Minutes walk to Cold Storage Jelita
5 mins drive to Holland Village MRT

Nearby Primary School
1) Henry Park Primary School (Within 1 Km)
2) Fairfield Methodist School (Primary)
3) Methodist Girls' School (Primary)

Shopping Malls
Holland Road Shopping Centre
The Star Vista

Call 90252556 for Viewing Today!",D10,All races welcome,,,Partially Furnished,,24 months,McMahon Park,7 Baths,5 Beds,Allowed,S$3.11 psf,"S$16,800/mo",https://www.99.co/singapore/rent/property/holland-road-landed-CFmQEk5ai2N8HG7KqBT2BV
"Aircon,Maid Room,Greenery View,Fridge,Bed,Jacuzzi,Swimming Pool,Dryer,Oven,Parking,Corner Unit,BBQ,Balcony","3,300 sqft (built up)",Priced to rent ! View daily,D11,All races welcome,,,Partially Furnished,Yes,24 months,One Mount Rosie,3 Baths,4 Beds,Allowed,S$2.06 psf,"S$6,800/mo",https://www.99.co/singapore/rent/property/mount-rosie-road-landed-ENDCy96YvTS4kuvDHYjAe
"Renovated,Aircon,Gym,Fridge,Swimming Pool,Jacuzzi,Washer,Fibre Ready,BBQ",700 sqft (built up),"Nice and new condo with shopping mall
- Full condo Facilities
- Connected to shopping Mall
- Lots of eateries, amenities, Supermarket (Sheng Siong) , or walkable to Ntuc or Giant too.
- Nearby childcare centre, primary and secondary school
- Partial furnished with white goods
- Available in 1st March.
Bus stop just infront of condo
Bus: 803,811",D27,,North,,,,12 months,Nine Residences,2 Baths,2 Beds,Not Allowed,S$3.43 psf,"S$2,400/mo",https://www.99.co/singapore/rent/property/nine-residences-condo-GB67TnHZxuJoamBopyEQnQ
"Games Room,Water Feature,Stove,Spa Pavilion,Oven,Mid Floor,Pond,Sky Terrace,Balcony,Fun Pool,Greenery View,Pool Deck,Wading Pool,Playground,Washer,Pool View,BBQ,Gym,Fridge,Low Floor,Dryer,Tennis Court,Undrewater Fitness Station,Patio / PES,Multi-purpose Hall,Jet Pool,Yoga Corner,Aircon,Viewing Deck,Mini Golf Range,Waterfall,Fitness Corner,Retail Shops,Lap Pool",850 sqft (built up),"Newly TOP Kingsford Waterbay Condo 
Brand new 1BR/2BR/3BR unit for rental 
Full condo facilities and overlooking Sungei Serangoon 
Daily on site with several units keys in hand 
Call me now to view several units at one go 
Don't miss!",D19,,,,Partially Furnished,,Flexible,Kingsford Waterbay,2 Baths,3 Beds,,S$3.29 psf,"S$2,800/mo",https://www.99.co/singapore/rent/property/kingsford-waterbay-condo-ViAGkzKhwZFWiSEKDmGRB8
"Jogging Track,Water Feature,Stove,Fridge,Sea View,Steam Room,Parking,Security,Pavilion,Renovated,Aircon,TV,Bed,Swimming Pool,Waterfall,Playground,High Floor,Washer,Lap Pool,Gym,BBQ,Hydrotherapy Pool",904 sqft (built up),"have a 2 bedrooms Coralis Condominium in East Coast for rent @ $3700/mth
Very high floor with sea view from living room and master room.
Next to I12 Katong and Parkway Parade Shopping Mall.
Fully furnished walked in condition with
internet connection.
Mins walking to Parkway Parade shopping Mall. East coast beach.
Immed move in.
530 Joo Chiat Rd Singapore 427710
Bus: 16,10,12,14,32,40,15,31,36,43,48,134,135,196,197,966
",D15,,North,,Fully Furnished,,24 months,Coralis,2 Baths,2 Beds,Not Allowed,S$4.09 psf,"S$3,700/mo",https://www.99.co/singapore/rent/property/coralis-condo-zenZR5zzQDtB9vPwVK7XXL
"Pool Deck,Roof Terrace,Lap Pool,Greenery View,Duplex / Maisonette,Gym,Fridge,Outdoor Dining,Wading Pool,Hydrotherapy Pool,Steam Room,Playground,Top Floor,High Floor,Security,Bathtub,Parking,Stove","2,719 sqft (built up)","Elevated on Pasir Panjang Hill, Horizon Residences is a luxurious freehold condo located within the Greater Southern Waterfront district.

The property is surrounded by serene, natural beauty, leaving the bustling city behind. Living spaces are complemented by the gentle breeze, and views of the calming sea and infinite horizon. 
",D05,All races welcome,,05,Partially Furnished,,Flexible,Horizon Residences,4 Baths,4 Beds,Allowed,S$3.68 psf,"S$10,000/mo",https://www.99.co/singapore/rent/property/horizon-residences-condo-dJk8r27JivXwfksNdUnUmE
"Clubhouse,City View,Security,Basketball Court,Aircon,Maid Room,Stove,Fridge,Swimming Pool,Dryer,Sea View,Tennis Court,Oven,Parking,High Floor,Washer,Wading Pool,Lap Pool,Gym,BBQ","1,593 sqft (built up)","At a staggering 250 metres, Altez brings a new perspective to the term “high-life”. The 62-storey development offers panoramic views of the sea and the city, and full condominium facilities. Just two minutes’ walk from Tanjong Pagar MRT Station, residents enjoy excellent access to the Central Business District and the Marina Coastal Expressway (MCE).

The development is also directly linked to Icon Village, a destination mall designed to create a cosmopolitan lifestyle, and a short walk away from 100 AM retail mall.
•	Winner of Asia Pacific Property Award 2015, Five-Star, Residential (High-Rise) Architecture Singapore
•	Winner of Singapore Good Design Award 2015, SG Mark
•	Winner of MIPIM Asia Awards 2015, Silver, Best Residential Development

Why Altez?

•	Best Residential High-Rise Architecture Singapore Award (2015).
•	Panoramic sea and city view.
•	Excellent connectivity to the Central Business District.
•	Directly linked to Icon Village mall.
•	2 minutes’ walk to Tanjong Pagar MRT Station.
•	Walking distance to Outram Park MRT Station.
•	Several feeder bus services are available near Altex located at Apex Tower, IBM Towers and Tanjong Pagar Plaza.
•	Close to private institutions such as Top Education Center and Asia Innovatory Management School.
•	Walking distance to the stretch of eateries and restaurants located at Tanjong Pagar Plaza and Tras Street.
•	Close to shopping malls China Square Central or Pearl’s Center for amenities such as retail, supermarkets, restaurants, banks, and more.
•	Short driving distance to VivoCity.
•	Less than 10 minute drive to Orchard Road.

Call (+65) 91450205 for viewing now.

**NO AGENT FEE**",D02,All races welcome,,55,Partially Furnished,,Flexible,Altez,3 Baths,3 Beds,Allowed,S$5.34 psf,"S$8,500/mo",https://www.99.co/singapore/rent/property/altez-condo-sYCoMx84qu5UF4KY5ZSpN
"Jogging Track,Stove,Fridge,Sauna,Jacuzzi,Tennis Court,Oven,Parking,Security,Closet,Fibre Ready,Pavilion,Renovated,Aircon,Swimming Pool,Maid Room,Mini Golf Range,Wading Pool,Playground,High Floor,Washer,Bathtub,Gym,BBQ","1,440 sqft (built up)","Actfast! The Blossomvale 3+1 rooms (1440sqft)
- 3 bedrooms + 1 helper + 1 Master attach / 1 Common / ! kitchen bathroom
- high floor
- newly renovated
- full condominium facilities
- next to King Albert Pk MRT / Cold STorage supermarket 
- 1 minutes walk to Bukit Timah Dunearn Rd bus stop
- minutes to Methodist Girl School / United World College
Call Ben Lee:82883501 for viewing before others Booked",,All races welcome,South East,06,Fully Furnished,,Flexible,The Blossomvale,3 Baths,3 Beds,,S$2.99 psf,"S$4,300/mo",https://www.99.co/singapore/rent/property/the-blossomvale-condo-w8Rabm3K7HDkY9u8a2ViPb
"Penthouse,Clubhouse,Games Room,High Ceiling,Stove,Parking,Dishwasher,Fridge,Walk In Closet,Dryer,Tennis Court,Oven,Dining Room Furniture,Sauna,Security,Balcony,City View,Aircon,Closet,TV,Sofa,Greenery View,Bed,Swimming Pool,Utility Room,Jacuzzi,Playground,Audio System,High Floor,Washer,Bathtub,Gym,BBQ","4,090 sqft (built up)","RARE 2-STOREY PENTHOUSE APARTMENT

The Bayshore is just next to the popular stretch of East Coast beach, where there is an abundance of food, entertainment and recreational outlets. Prominent schools and shopping centres are also in the immediate vicinity.

It is easily accessible to the City or Changi International Airport via East Coast Parkway (ECP) Expressway.

Availability of unit not reflected in real time.",D16,All races welcome,,30,Fully Furnished,,12 months,The Bayshore,4 Baths,5 Beds,Allowed,S$3.55 psf,"S$14,500/mo",https://www.99.co/singapore/rent/property/the-bayshore-condo-6UzbPHQ5oVDGUNKizVeM85
"Jogging Track,Clubhouse,Basketball Court,Gym,Parking,Fridge,Jacuzzi,Tennis Court,Oven,High Floor,Security,Balcony,Renovated,Aircon,Sofa,Bed,Wading Pool,Playground,Fitness Corner,Dining Room Furniture,Washer,Pool View,Lap Pool,BBQ","1,000 sqft (built up)","Rare Carabelle Two bedroom at West Coast Way
- living hall with spacious balcony 
- quiet, unblocked pool view
- full condominium facilities 50m lap pool, tennis court, clubhouse, gym, 
- daily shuttle bus to Clementi MRT / West Coast Plaza
- easy access by West Coast Highway / AYE / PIE to city
- near Japanese / Canada/ ISS / United World College International schools
- minutes walk to NeWest shopping mall / West Coast / Ayer Rajah foodcourt
- near Nan Hua Primary / Qifa primary school
Call Ben Lee Hp:8288-3501 before others Booked",D05,,South East,,Fully Furnished,,Flexible,Carabelle,2 Baths,2 Beds,,S$2.70 psf,"S$2,700/mo",https://www.99.co/singapore/rent/property/carabelle-condo-TfQeorgzZEUAcb8qpJN8Ec
"Aircon,TV,Stove,Fridge,Bed,High Floor,Washer","1,100 sqft (built up)","4 rm flat 3+1 high flr, corridor, unblock windy, furn,
near foodcourt, supermarket,mins to mrt, move in simple
Kim Keat Ave
258 Kim Keat Avenue
Approved 3 rooms 2 bath 1119 sf
Fully furn  / partial furn with aircon
High floor, unblock view, bright, windy
Mins to Toa Payoh MRT NS19 (1.22km)/Potong Pasir MRT NE10 (1.50km)/Braddel MRT NS18 (1.54km)
Very convenient - near all amenities - Toa Payoh central, bus interchange, 24 hr Giant supermarket, wet market, food court, eateries, banks, shops, childcare centre, park, playground, Top local and international schools. Safra, Toa Payoh Stadium etc
Easily connected to PIE/TPE/CTE/BKE/SLE/ECP; mins to city 
Bus service: 57,235,238",D12,,North,,Fully Furnished,,24 months,258 Kim Keat Avenue,2 Baths,3 Beds,Not Allowed,S$2.09 psf,"S$2,300/mo",https://www.99.co/singapore/rent/property/258-kim-keat-avenue-hdb-zUkijBKJvNMe22PrihtxLD
"Clubhouse,Renovated,Aircon,Sofa,Greenery View,Tennis Court,Fridge,Sauna,Swimming Pool,Wading Pool,Squash Court,Playground,Oven,Dining Room Furniture,High Floor,Washer,Security,BBQ,Balcony","1,500 sqft (built up)","Newly Renovated The Windsor 3 Bedroom
- Built area 1485 sqft (3 Bedroom only without helper room)
- Renovated kitchen / bathrooms
- furnish with sofa set, dining set, fridge, wash machine, kitchen cabinets, aircons
- spacious living / dining hall with balcony
- walk up apartment to 3rd floor
- easy access by buses to city
- minutes walk to Thomson Plaza shopping
- minutes walk to MacRitchie Reservoir Park
- easy access to city by Thomson Lornie Highway 
- refer 360 virtual tour at https://panoroo.com/tours/M4w37E4b
Call Ben Lee Hp: 82883501 to view this Sweet Home before others Booked",D20,All races welcome,,03,Fully Furnished,,Flexible,The Windsor,2 Baths,3 Beds,,S$1.67 psf,"S$2,500/mo",https://www.99.co/singapore/rent/property/the-windsor-condo-fys2faXt7wx9NbBN2Jhn2V
"Clubhouse,Stove,Fridge,Sauna,Jacuzzi,Dryer,Steam Room,Tennis Court,Oven,Mid Floor,Security,City View,Aircon,Jet Pool,Greenery View,Open Terrace,Wading Pool,Hydrotherapy Pool,Playground,Washer,Lap Pool,Gym,BBQ,Hydrotherapy Pool",915 sqft (built up),"=====================================
Other available units:
* 1 bedroom (700 sqft) - Asking $4,400 nego
* 1 bedroom (581 sqft) - Asking $3,300 nego
* 1 bedroom (570 sqft) - Asking $3,500 nego
=====================================
Icon is a 99-year Leasehold Apartment located at Gopeng Street in District 02. Icon comprises of 646 Units. It was completed in 2007. 

Icon is a 99-year Leasehold apartment located at Gopeng Street in District D02. Icon is close to Tanjong Pagar MRT EW15 . 

Amenities near Icon 

Icon is a short drive to Lucky Chinatown, China Square Central, Far East Square and OG Building. It is also not far from several schools such as Outram Secondary School and CHIJ Kellock Primary School. 

Icon is accessible via Anson Road, Keppel Road, Ayer Rajah Expressway (AYE) and East Coast Parkway Expressway (ECP). 

CALL 91450205 TO VIEW ALL.",D02,All races welcome,,08,Partially Furnished,,Flexible,Icon,1 Bath,2 Beds,Allowed,S$4.81 psf,"S$4,400/mo",https://www.99.co/singapore/rent/property/icon-condo-NgHcMpZYoMAywfRyQmdg5E
"Clubhouse,Stove,Parking,Fridge,Dryer,Tennis Court,Oven,Dining Room Furniture,Security,Balcony,Aircon,Closet,Maid Room,Sofa,Greenery View,Wading Pool,Bed,Swimming Pool,Utility Room,Squash Court,Playground,High Floor,Washer,Bathtub,Gym","1,894 sqft (built up)","Pebble Bay is a 99-year Leasehold condominium located at Tanjong Rhu Road in District D15. Pebble Bay is close to Stadium MRT CC6 and Tanjong Rhu MRT TE23 is due completion in 2023 

Amenities near Pebble Bay 

Pebble Bay is a short drive to Leisure Park Kallang and The Concourse Shopping Mall. It is also not far from several schools such as Stamford Primary School, Hong Wen School and School of the Art, Singapore. 

Pebble Bay is accessible via Nicoll Highway and East Coast Parkway (ECP). 

Call 91450205 for viewing now.",D15,All races welcome,,13,Fully Furnished,,Flexible,Pebble Bay,3 Baths,3 Beds,Allowed,S$3.43 psf,"S$6,500/mo",https://www.99.co/singapore/rent/property/pebble-bay-condo-Devex3TQqkFE4qHKCT5EcA
"Basketball Court,Stove,Fridge,Sauna,Dryer,Tennis Court,Oven,Parking,Security,Closet,Renovated,Aircon,Sofa,Greenery View,Swimming Pool,Jacuzzi,Playground,Fitness Corner,High Floor,Washer,Fibre Ready,Gym,BBQ","2,228 sqft (built up)","Orchard Scotts For Rent
(3 Anthony Road)

Orchard Scotts is a premier development located amidst the serenity of Cairnhill Road and Anthony Road.  It is only minutes’ drive to the bustling Orchard Road, renowned international schools like ISS International School, Chatsworth International School and the Central Business District, and walking distance to Newton MRT Station.
Being the 1st winner in the Residential Category at the 2009 FIABCI Prix d’Excellence Awards, widely recognized as the highest honour in international real estate, Orchard Scotts combined the best of innovative design and cutting edge technology to create real estate values for residents. A substantial part of this prime site has been devoted to landscaping and residential amenities for the enjoyment of residents, with physical structures making up only 25% of its sprawling grounds spanning some 2.5 hectares.
Orchard Scotts pioneered several firsts in the provision of communal recreational facilities, raising the bar on features and standards that define high-end residential property in Singapore.  Comprises spacious 3 to 4-bedroom apartments, residents at Orchard Scotts are spoilt by its huge grounds where the full condominium facilities sit and the 24-hour security. In addition, residents get to enjoy concierge services (8am - 10.30pm daily), complimentary shuttle bus service and lifestyle programmes organised by the property management.

Facilities:
60m lap Pool
6000 sqft children's play club
Pool occupying 1500 sqm
Outdoor jacuzzi
Indoor furo bath
Male and female changing rooms
Spa pavilions
Two tennis courts
Full-sized basketball court
Gymnasium and fitness corner
Outdoor giant chess set
Outdoor dining and BBQ pavilion
Wine and cigar room
Function/dining rooms with Western & Chinese Kitchen facilities

Amenities:
Near Tanglin Club
Near The American Club
Next to Newton MRT Station
Near Newton Food Centre
Close to Orchard Road

1) Mins walk to Newton MRT and Newton Food Centre
2) Mins drive to Orchard Road
3) Shuttle bus service Mon - Fri
7.30am and 8.15am
Orchard Scotts->Orchard MRT->Atrium-Suntec->Market Street->Central SOHO->Orchard Scotts
Shuttle bus service Saturday
11am, 1pm and 3pm
Orchard Scotts->Orchard MRT->Atrium-Suntec->
Market Street->Central SOHO->Novena

Multiple units available
Call Vincent 93799993 Now to View",D09,All races welcome,,13,Partially Furnished,Yes,Flexible,Orchard Scotts,3 Baths,3 Beds,Allowed,S$5.39 psf,"S$12,000/mo",https://www.99.co/singapore/rent/property/orchard-scotts-condo-5upggpYqdTRR76Yz6hFe2C
"Clubhouse,Function Room,Water Feature,Stove,Parking,Fridge,Meeting Room,Walk In Closet,Dryer,Tennis Court,High Floor,Sauna,Balcony,Pavilion,Aircon,Greenery View,Pool Deck,Bed,Swimming Pool,Wading Pool,Spa Pool,Playground,Dining Room Furniture,Washer,Gym,BBQ","1,345 sqft (built up)","bukit batok mrt .... the jade condo for rent 3 bed rooms 3 bathrooms, high floor, open view, amenities west mall shopping centre, school, mrt, bus stop, eateries, food court, shops, available immediate, please call 9459 8818 for appointment, thanks.",D23,,,,Partially Furnished,Yes,12 months,The Jade,3 Baths,3 Beds,,S$2.45 psf,"S$3,300/mo",https://www.99.co/singapore/rent/property/the-jade-condo-wRfk6xxqt3pJokt96x7mtM
"Security,Closet,Aircon,Greenery View,Fridge,Sauna,Low Floor,Swimming Pool,Utility Room,Tennis Court,Oven,Parking,Washer,Stove","1,561 sqft (built up)","Nestled in a secluded hillock along Pasir Panjang Road, Banyan Condo is the ideal home for resort-style living near the city. Nearby West Coast and Kent Ridge parks provide a fresh morning breeze, while easy access to the Ayer Rajah Expressway (AYE) means getting into the Central Business District is easy.

Recreational and lifestyle options abound with VivoCity, Harbourfront Centre, Mount Faber, and Sentosa all in the vicinity.  Other local amenities include Tanglin Trust School, National University of Singapore (NUS), and National University Hospital (NUH). 

Why Banyan Condominium?

* Quiet living in lush surroundings with full condo facilities, yet near to the city.
* Area is earmarked as the future Greater Southern Waterfront, a future waterfront city.
* Short drive to recreational and lifestyle options at VivoCity,  Sentosa & West Coast Park.
* Close to Pasir Panjang MRT Station.
* Near to Mount Faber and Kent Ridge Park.
* Near to HortPark and The Southern Ridges.
* A few bus stops away from National University of Singapore & Science Park II.

Call (+65)91450205 for viewing now.

***NO AGENT FEE***",D05,All races welcome,,02,Partially Furnished,,Flexible,Banyan Condominium,2 Baths,3 Beds,Allowed,S$2.31 psf,"S$3,600/mo",https://www.99.co/singapore/rent/property/banyan-condominium-condo-QGNSWkBnGwLvkoLC4bDLzN
"Pond,City View,Aircon,Closet,High Ceiling,Fridge,Bed,Jacuzzi,Swimming Pool,Wading Pool,Dryer,Fitness Corner,Parking,High Floor,Washer,Fibre Ready,Security,Balcony",624 sqft (built up),"Soaring 43 storeys above a stylish boutique retail podium, Scotts Square's modern architecture adorned with world-renowned art pieces makes it one of the most striking and distinguished homes in the heart of the Orchard Road belt. All 338 apartments boast stylishly appointed interiors and offer astounding views of the vibrant city skyline. The Club Floor on Level 8 pampers residents with a whole line-up of amenities including a swimming pool, jacuzzi, business centre, library and a concierge desk. These luxuries are topped off with the ultimate indulgence - a sky pool perched on the 35th floor commanding spectacular views of the city below. 

The two uber luxury freehold residential towers of 35 and 43-storeys are among the tallest residential buildings in the heart of Orchard Road.


High Floor
Fully Furnished
624sqft to 635sqft

Level 20+ 624sqft Asking $5200 ($5000 can try)
Level 27+ 624sqft Asking $5500 ($5300 can try)
Level 35+ 635sqft Asking $5500 ($5300 can try)


Seeing is Believing
Call Vincent 93799993 Now to View!",D09,All races welcome,North,20,Fully Furnished,Yes,Flexible,Scotts Square,1 Bath,1 Bed,Allowed,S$8.01 psf,"S$5,000/mo",https://www.99.co/singapore/rent/property/scotts-square-condo-XprEYBEKoGyrpFgXD5LPxM
"Fitness Corner,City View,Security,Basketball Court,Aircon,Stove,Fridge,Jacuzzi,Utility Room,Dryer,Steam Room,Playground,Oven,Parking,Mid Floor,Washer,Wading Pool,Gym,Tennis Court","1,367 sqft (built up)","Located in bustling Ang Mo Kio town centre, Centro Residences offers condos for rent at the centre of vibrant living.

A minute’s walk away are Ang Mo Kio Bus Interchange and Ang Mo Kio MRT Station, taking you to Orchard Road in a mere six MRT stops.

Also close by are a myriad of amenities, from reputable schools to retail hubs such as Junction 8 Shopping Centre and AMK Hub, to the future Health City Novena.

Availability of unit not reflected in real time.",D20,All races welcome,,07,Partially Furnished,,12 months,Centro Residences,3 Baths,2 Beds,Allowed,S$3.22 psf,"S$4,400/mo",https://www.99.co/singapore/rent/property/centro-residences-condo-LJS3RMMRXzK7JSGoVuZSzk
"Penthouse,Clubhouse,Gym,Parking,Fridge,Sauna,Jacuzzi,Dryer,Tennis Court,Oven,High Floor,Security,Games Room,Aircon,TV,Bed,Swimming Pool,Sea View,Playground,Dining Room Furniture,Washer,BBQ","4,090 sqft (built up)","Luxurious Condo
Duplex Penthouse with Sea View
High End Interior Design
5 bedroom + Utility room
4090sqft
Immediately 
Fully Furnished

Enjoy waterfront living at The Bayshore, an ideal combination of scenic landscaping and panoramic seascaping, all in one location.

Residents of this FIABCI Prix’D Excellence Award winner will enjoy the beautiful foliage within the condominium that resembles a Spanish Mediterranean styled resort. Situated in our island’s most sought-after East Coast district, The Bayshore is just next to the popular stretch of East Coast beach, where there is an abundance of food, entertainment and recreational outlets. Prominent schools and shopping centres are also in the immediate vicinity.

It is easily accessible to the City or Changi International Airport via East Coast Parkway (ECP) Expressway.

Facilities
BBQ Pits
Billiards Room
Covered Car Park
Clubhouse
Gymnasium
Jacuzzi
Children's Playground
Sauna
24-Hour Security
Swimming Pool (selected units)
Driving Range
Function Room
Karaoke
Tennis Courts

Amenities
Close to Parkway Parade Shopping Centre
Near East Coast Park and East Coast Seafood Centre
Near Changi International Airport
Near Siglap Shopping Centre and Siglap Centre
Near I12 Katong and Katong V

Call Vincent 93799993 Now to View!",D16,,,,Fully Furnished,,Flexible,The Bayshore,4 Baths,5 Beds,,S$3.42 psf,"S$14,000/mo",https://www.99.co/singapore/rent/property/the-bayshore-condo-aAQ9yvf37Q2jVLeRzRaRfY
"Aircon,Gym,Fridge,Low Floor,Swimming Pool,Dryer,Parking,Washer,Security,BBQ","1,765 sqft (built up)","Orange Regency
(101 Fernhill Rd)

Step into Orange Regency, nestled in the prime district of Orchard Road, and be ensured of complete privacy and exclusivity. Enjoy mesmerizing views of the pool or surrounding lush greenery from the luxuriously furnished private apartments and penthouses.

Shopping for any occasion or purpose is made easy with Singapore’s famous shopping belt – Orchard Road, a short walk away. Or simply escape from the hassle and bustle of city life and relish your weekends at The American Club, Tanglin Club, The Pines Club or Singapore Botanic Gardens, all found in the vicinity.

Orange Regency provides a complimentary shuttle bus service to nearby MRT Stations for the convenience of our tenants.

Facilities
Barbeque pits
Japanese-style furo bath
Gymnasium
Swimming Pool

Amenities
Walking distance to Orchard Road 
Near Singapore Botanic Gardens
Near to The American Club, The Pine Club and Tanglin Club

1) Minutes drive to Orchard road and Newton MRT
2) Close proximity to International schools along Bukit Timah

Multiple units available
Call Vincent 93799993 Now to View",D10,,,,,,Flexible,Orange Regency,3 Baths,4 Beds,,S$3.40 psf,"S$6,000/mo",https://www.99.co/singapore/rent/property/orange-regency-condo-nJ9daZ5TVTvyT6cagFmEsi
